M,N,K,t_measured_ms
2,2634,5647,0.0543985515832901
2,4686,2287,0.04841480404138565
2,4686,2642,0.04433421418070793
2,4686,4096,0.05054287612438202
2,4686,4738,0.052254414185881615
2,4686,6201,0.07532606832683086
2,4686,6937,0.07919780910015106
2,4686,8192,0.0662065576761961
2,4686,8968,0.06724637933075428
2,4686,9495,0.09498954750597477
2,4686,10776,0.07452629506587982
2,4686,11128,0.07515004836022854
2,4686,12379,0.11481298133730888
2,4686,13856,0.08826935663819313
2,4686,15919,0.14255661517381668
2,7220,779,0.03588688559830189
2,7220,1743,0.05097431130707264
2,7220,2287,0.05911919288337231
2,7220,2826,0.04977500066161156
2,7220,4133,0.08625350892543793
2,7220,5647,0.10258960537612438
2,7220,6693,0.11457270011305809
2,7220,7269,0.12332526966929436
2,7220,8766,0.08001388050615788
2,7220,9075,0.14510005712509155
2,7220,10509,0.16556354239583015
2,7220,11015,0.17071561887860298
2,7220,12379,0.1891313586384058
2,7220,13681,0.19714701920747757
2,7220,15919,0.21996302530169487
2,8026,361,0.026831170544028282
2,8026,1024,0.035550910979509354
2,8026,1907,0.05335896275937557
2,8026,2509,0.05950196646153927
2,8026,3213,0.06683054380118847
2,8026,4738,0.05910242907702923
2,8026,6201,0.10238075628876686
2,8026,6937,0.11015753261744976
2,8026,8192,0.08017453365027905
2,8026,8968,0.08455803617835045
2,8026,9110,0.08570984937250614
2,8026,10509,0.1516919583082199
2,8026,11015,0.16086013056337833
2,8026,12379,0.17570797353982925
2,8026,13681,0.1913071610033512
2,8026,16048,0.12980448082089424
2,8192,361,0.02726307138800621
2,8192,512,0.03673532046377659
2,8192,1743,0.049519119784235954
2,8192,2287,0.06156624294817448
2,8192,2642,0.04267110489308834
2,8192,4096,0.04750280641019344
2,8192,5338,0.059422338381409645
2,8192,6517,0.12494111433625221
2,8192,7234,0.0699344091117382
2,8192,8192,0.0655504409223795
2,8192,8795,0.16005989164113998
2,8192,9110,0.07764622569084167
2,8192,10566,0.08735805749893188
2,8192,10968,0.07659010589122772
2,8192,12102,0.09322958067059517
2,8192,13315,0.22735516540706158
2,8192,15086,0.11025299318134785
2,8192,16135,0.27160951867699623
2,8981,779,0.035102711990475655
2,8981,1205,0.04153489135205746
2,8981,2287,0.05755038000643253
2,8981,2826,0.065662432461977
2,8981,4133,0.08505419827997684
2,8981,5647,0.10642921552062035
2,8981,6693,0.11902116239070892
2,8981,7234,0.12858910486102104
2,8981,8479,0.1449398696422577
2,8981,8977,0.15407591126859188
2,8981,10404,0.1733875833451748
2,8981,10864,0.17959554679691792
2,8981,11354,0.18725893460214138
2,8981,13249,0.21409033797681332
2,8981,14925,0.23777014575898647
2,8981,16135,0.25671394541859627
2,11223,512,0.028879381716251373
2,11223,1024,0.03775907680392265
2,11223,1743,0.05268678069114685
2,11223,2509,0.07526203989982605
2,11223,4096,0.10726158507168293
2,11223,4738,0.11518155224621296
2,11223,5756,0.13274885714054108
2,11223,6918,0.15562772750854492
2,11223,8149,0.1779154408723116
2,11223,8795,0.19039493054151535
