bs,seq,nh,nkv,hd,t_measured_ms
1,1,2,2,128,0.050366856157779694
1,2,64,8,64,0.0461433082818985
1,2,128,8,64,0.047487206757068634
1,4,2,2,64,0.04540709778666496
1,4,2,4,128,-1.0
1,4,4,1,128,0.04726322367787361
1,4,4,4,128,0.04627089947462082
1,4,8,1,128,0.04691118374466896
1,4,8,8,64,0.044830143451690674
1,4,16,2,64,0.04105502739548683
1,4,16,8,64,0.045822933316230774
1,4,32,2,64,0.04339125007390976
1,4,32,8,64,0.04239892587065697
1,4,64,2,64,0.03939075395464897
1,4,64,8,64,0.039295293390750885
1,4,128,2,128,0.04262290894985199
1,4,128,8,64,0.04441477358341217
1,8,2,2,128,0.04131114110350609
1,8,4,1,64,0.038174912333488464
1,8,4,4,64,0.03891065716743469
1,8,8,1,64,0.037822406738996506
1,8,8,4,64,0.03747083246707916
1,8,16,1,128,0.03596721217036247
1,8,16,4,128,0.03676721826195717
1,8,32,1,64,0.03599794581532478
1,8,32,4,128,0.03983872011303902
1,8,64,1,128,0.04025408998131752
1,8,64,4,128,0.038590747863054276
1,8,128,1,128,0.03523100167512894
1,8,128,4,128,0.03935862332582474
1,16,2,2,64,0.03571063280105591
1,16,2,8,64,-1.0
1,16,4,2,64,0.03878306597471237
1,16,4,8,64,-1.0
1,16,8,1,128,0.03519933670759201
1,16,8,4,64,0.0375029630959034
1,16,16,1,64,0.03414275124669075
1,16,16,4,64,0.03497488796710968
1,16,32,1,64,0.03369525074958801
1,16,32,4,64,0.03414321690797806
1,16,64,1,64,0.03407895565032959
1,16,64,4,64,0.03814278170466423
1,16,128,1,64,0.03449525684118271
1,16,128,4,64,0.0353911891579628
1,16,128,8,128,0.0351988710463047
1,32,2,4,64,-1.0
1,32,2,8,128,-1.0
1,32,4,4,64,0.03622286021709442
1,32,4,8,128,-1.0
1,32,8,2,128,0.0352947972714901
1,32,8,8,128,0.03478303551673889
1,32,16,2,128,0.03423914313316345
1,32,16,8,128,0.03324728459119797
1,32,32,2,128,0.03299117088317871
1,32,32,8,128,0.03439886495471001
1,32,64,2,128,0.03395136445760727
1,32,64,8,128,0.0345911830663681
1,32,128,2,64,0.038526952266693115
1,32,128,8,64,0.03558304160833359
1,64,2,2,64,0.033439137041568756
1,64,2,8,64,-1.0
1,64,4,2,64,0.0353911891579628
1,64,4,8,64,-1.0
1,64,8,1,64,0.03382284194231033
1,64,8,4,128,0.03151921555399895
1,64,16,2,64,0.03491109237074852
1,64,16,8,64,0.031135044991970062
1,64,32,2,64,0.03369618207216263
1,64,32,4,128,0.03372738137841225
1,64,64,2,64,0.03481470048427582
1,64,64,2,128,0.03359932452440262
1,64,128,1,64,0.034111086279153824
1,64,128,4,64,0.0325753353536129
1,64,128,8,128,0.036510638892650604
1,128,2,4,64,-1.0
1,128,2,8,128,-1.0
1,128,4,2,128,0.03235088661313057
1,128,4,8,128,-1.0
1,128,8,2,128,0.0337907113134861
1,128,8,8,64,0.030271243304014206
1,128,16,1,128,0.03478303551673889
1,128,32,1,64,0.03465497866272926
1,128,32,2,128,0.03491062670946121
1,128,64,1,64,0.03401516005396843
1,128,64,4,64,0.035902950912714005
1,128,64,8,128,0.03212690353393555
1,128,128,2,128,0.03254273906350136
1,128,128,8,128,0.0353911891579628
1,256,2,2,128,0.0375029630959034
1,256,4,8,64,-1.0
1,256,8,1,64,0.031902920454740524
1,256,8,4,64,0.031102914363145828
1,256,16,1,64,0.0331830233335495
1,256,16,4,64,0.03478303551673889
1,256,32,1,64,0.03635091707110405
1,256,32,8,64,0.03158301115036011
1,256,64,2,64,0.03209523856639862
1,256,64,8,64,0.03423914313316345
