bs,seq,nh,nkv,hd,t_measured_ms
1,94976,32,1,64,261.37679629027843
1,94976,32,4,64,260.97232615575194
1,94976,32,8,64,260.82000974565744
1,94976,64,1,128,927.7700381353498
1,94976,64,8,128,924.4206841103733
1,94976,128,2,128,1847.316280938685
1,101250,2,1,64,18.881079275161028
1,101250,2,1,128,34.00132758542895
1,101250,2,2,64,19.144944846630096
1,101250,2,2,128,34.3155600130558
1,101250,2,4,64,-1.0
1,101250,2,4,128,-1.0
1,101250,2,8,64,-1.0
1,101250,2,8,128,-1.0
1,101250,4,1,64,37.75003086775541
1,101250,4,1,128,67.69332010298967
1,101250,4,2,64,37.63598715886474
1,101250,4,2,128,67.78538320213556
1,101250,4,4,64,37.77663083747029
1,101250,4,4,128,67.48079787939787
1,101250,4,8,64,-1.0
1,101250,4,8,128,-1.0
1,101250,8,1,64,75.05964394658804
1,101250,8,1,128,133.76889005303383
1,101250,8,2,128,135.07893728092313
1,101250,8,8,128,133.77500232309103
1,101250,16,2,64,149.9101729132235
1,101250,16,4,64,149.47738405317068
1,101250,16,8,64,149.74848087877035
1,101250,32,1,64,296.81347915902734
1,101250,32,4,64,296.9866585917771
1,101250,32,8,128,526.9426200538874
1,101250,64,2,128,1053.0972960405052
1,101250,128,1,64,1184.5715260133147
1,101250,128,4,64,1185.1720861159265
1,101250,128,8,64,1184.8143031820655
1,102318,8,2,128,136.9861881248653
1,102318,8,4,128,137.21549417823553
1,102318,16,1,128,269.24670627340674
1,102318,16,4,128,271.1278419010341
1,102318,32,1,128,537.1854077093303
1,102318,32,8,64,303.4902741201222
1,102318,64,1,128,1077.3027739487588
1,102318,64,8,128,1074.7156799770892
1,102318,128,2,128,2148.5607237555087
1,104155,2,1,64,21.00765286013484
