seq,dim,t_measured_ms
2,128,0.0767335295677185
2,452,0.08038152009248734
2,562,0.08054263889789581
2,745,0.08287839591503143
2,856,0.08198153227567673
2,1024,0.08348468691110611
2,1428,0.08332449942827225
2,1535,0.07964577525854111
2,1615,0.0789416953921318
2,1664,0.08086208254098892
2,1932,0.08006114512681961
2,2048,0.07983855903148651
2,2174,0.07986929267644882
2,2268,0.07852539420127869
2,2312,0.07980596274137497
2,2409,0.07977336645126343
2,2818,0.07705390453338623
2,3064,0.07846206426620483
2,3086,0.0764140859246254
2,3630,0.07750280201435089
2,3728,0.07535796612501144
2,3978,0.07830187678337097
2,4302,0.07267016917467117
2,4347,0.07593445479869843
2,4482,0.07167831063270569
2,4614,0.07458962500095367
2,5195,0.07651001214981079
2,5405,0.07388647645711899
2,5577,0.07455796003341675
2,5874,0.07599778473377228
2,6034,0.07670186460018158
2,6263,0.07503759115934372
2,6519,0.07580593228340149
2,6747,0.07574260234832764
2,6811,0.0750059261918068
2,6879,0.07433444261550903
2,7026,0.07625389844179153
2,7081,0.07583759725093842
2,7320,0.08038245141506195
2,7571,0.07558241486549377
2,7737,0.07542222738265991
2,7917,0.0760294497013092
2,8144,0.07577426731586456
2,8213,0.07577426731586456
2,8415,0.07567834109067917
2,8611,0.07583852857351303
2,8694,0.07887743413448334
2,8906,0.08172541856765747
2,9059,0.07942132651805878
2,9164,0.07859058678150177
2,9234,0.08156616240739822
2,9649,0.08057430386543274
2,9782,0.0751027837395668
2,10035,0.07507018744945526
2,10649,0.08006114512681961
2,10978,0.0792304053902626
2,11035,0.07855799049139023
2,11380,0.08025392889976501
2,11541,0.07698964327573776
2,11930,0.07442943751811981
2,12318,0.07747020572423935
2,12553,0.07353443652391434
2,12895,0.07660593837499619
2,13002,0.07609371095895767
2,13476,0.07423758506774902
2,13804,0.07775798439979553
2,14028,0.0764140859246254
2,14210,0.07874984294176102
2,14530,0.07961411029100418
2,14676,0.08063763380050659
2,14932,0.07740594446659088
2,15104,0.0760294497013092
2,15245,0.08111726492643356
2,15467,0.07698964327573776
2,15686,0.07747020572423935
2,15977,0.07839780300855637
2,16098,0.07855799049139023
2,16296,0.0770222395658493
4,133,0.07705390453338623
4,435,0.07586926221847534
4,562,0.0779181718826294
4,819,0.07660593837499619
4,1024,0.07826928049325943
4,1467,0.07922947406768799
4,1585,0.07839687168598175
4,1798,0.07462222129106522
4,1998,0.07881410419940948
4,2174,0.07782131433486938
4,2304,0.07622223347425461
4,2388,0.07548648864030838
4,2605,0.08191727101802826
4,3064,0.0783335417509079
4,3235,0.07820595055818558
4,3758,0.07574167102575302
4,4052,0.07375795394182205
4,4347,0.07526203989982605
4,4482,0.07759779691696167
4,4858,0.07430184632539749
4,5310,0.0797417014837265
4,5453,0.07740594446659088
4,5894,0.07878150790929794
4,6236,0.07731001824140549
4,6519,0.07747020572423935
4,6747,0.07756520062685013
4,6817,0.08147023618221283
4,6968,0.07474981248378754
4,7288,0.07775798439979553
4,7429,0.07721409201622009
4,7737,0.07526203989982605
4,8009,0.07369369268417358
4,8165,0.07721409201622009
4,8332,0.07593445479869843
4,8611,0.07846206426620483
4,8694,0.07967837154865265
4,8954,0.07948558777570724
4,9106,0.0779181718826294
4,9393,0.07433351129293442
4,9782,0.07811002433300018
4,10035,0.07830280810594559
4,10649,0.0757100060582161
4,10978,0.07468555122613907
4,11126,0.07292628288269043
4,11452,0.07510185241699219
4,11541,0.07314980030059814
4,11930,0.07730908691883087
4,12333,0.07938966155052185
4,12577,0.07539056241512299
