seq,dim,t_measured_ms
2,256,0.0995174050331115
2,10011,0.0976612791419029
2,10325,0.0966368243098259
2,10958,0.0954214483499527
2,11126,0.0995490700006485
2,11452,0.0991644337773323
2,11822,0.0953897833824157
2,12300,0.0934377312660217
2,12577,0.0908141955733299
2,12908,0.0946531072258949
2,13061,0.0933725386857986
2,13639,0.0887969508767128
2,13846,0.091581605374813
2,14068,0.0963499769568443
2,14235,0.091133639216423
2,14554,0.0940132886171341
2,14807,0.091133639216423
2,14976,0.0887345522642135
2,15215,0.0929581001400947
2,15443,0.0886060297489166
2,15667,0.0908132642507553
2,15871,0.0914540141820907
2,16111,0.0904938206076622
2,16299,0.0916775315999984
4,165,0.0891825184226036
4,452,0.0869734212756156
4,702,0.0868132337927818
4,918,0.0852458178997039
4,1428,0.0855019316077232
4,1551,0.0880938023328781
4,1664,0.0840295106172561
4,1994,0.0860784202814102
4,2167,0.0871326774358749
4,2268,0.0843498855829238
4,2377,0.0902684405446052
4,2431,0.0818213447928428
4,2841,0.090109184384346
4,3226,0.0851824879646301
4,3630,0.0896304845809936
4,3978,0.0864928588271141
4,4302,0.0884458422660827
4,4425,0.0873580574989318
4,4614,0.0884784385561943
4,5313,0.0892775133252143
4,5577,0.0907490029931068
4,6034,0.0874865800142288
4,6263,0.0832937657833099
4,6572,0.0805100426077842
4,6758,0.0879345461726188
4,6849,0.090077519416809
4,7060,0.0873263925313949
4,7295,0.0856621190905571
4,7601,0.0844448804855346
4,7780,0.0855335965752601
4,8144,0.0891173258423805
4,8387,0.0864295288920402
4,8504,0.0878060236573219
4,8878,0.0908141955733299
4,9059,0.0893417745828628
4,9164,0.0852458178997039
4,9649,0.0839335843920707
4,9881,0.0878693535923957
4,10105,0.0868141651153564
4,10712,0.0807344913482666
4,11022,0.0867815688252449
4,11336,0.079774297773838
4,11498,0.0855661928653717
4,11672,0.0865263864398002
4,12273,0.0843824818730354
4,12377,0.0858539715409278
4,12664,0.0893743708729744
4,12935,0.0902051106095314
4,13123,0.0851824879646301
4,13678,0.0836141407489776
4,13952,0.0911662355065345
4,14072,0.0897580757737159
4,14371,0.0874847173690795
4,14609,0.0847652554512023
4,14970,0.0880621373653411
4,15130,0.0829743221402168
4,15246,0.0868458300828933
4,15597,0.0803815200924873
4,15865,0.0806059688329696
4,16047,0.085117295384407
4,16299,0.0833906233310699
8,165,0.0863661989569664
8,452,0.0842213630676269
8,562,0.086270272731781
8,856,0.0883489847183227
8,1044,0.0873263925313949
8,1469,0.0857580453157424
8,1615,0.0826213508844375
8,1897,0.0859815627336502
8,2048,0.0826222822070121
8,2179,0.0830059871077537
8,2363,0.0860141590237617
8,2421,0.08428655564785
8,2820,0.0857254490256309
8,3098,0.0804765149950981
8,3630,0.0850539654493331
8,3791,0.0829100608825683
8,4266,0.0768937170505523
8,4412,0.084766186773777
8,4561,0.0855987891554832
8,4858,0.0854060053825378
8,5313,0.0854060053825378
8,5577,0.0791968777775764
8,5970,0.0847335904836654
8,6263,0.083230435848236
8,6572,0.0827815383672714
8,6758,0.0832937657833099
8,7026,0.0850548967719078
8,7288,0.0865263864398002
8,7557,0.0831643119454383
8,7686,0.0887336209416389
8,7917,0.0821724534034729
8,8165,0.0916458666324615
8,8387,0.0900467857718467
8,8611,0.0840621069073677
8,8878,0.0867825001478195
8,8979,0.086141750216484
8,9106,0.0873897224664688
8,9393,0.0819172710180282
8,9782,0.0813407823443412
8,10035,0.0859182327985763
8,10649,0.0829426571726799
8,10978,0.0818865373730659
8,11126,0.0874204561114311
8,11380,0.0842539593577385
8,11592,0.0840304419398307
8,11930,0.0854376703500747
