M,N,K,t_measured_ms
2,256,256,0.03324751742184162
2,256,512,0.03059161826968193
2,256,779,0.03441516309976578
2,256,790,0.02851104363799095
2,256,1024,0.03580702468752861
2,256,1144,0.03553507849574089
2,256,1205,0.03303913399577141
2,256,1743,0.032670795917510986
2,256,1907,0.03345566801726818
2,256,2048,0.03195134922862053
2,256,2108,0.03446289338171482
2,256,2287,0.03156671300530434
2,256,2509,0.03236765041947365
2,256,2510,0.03235158510506153
2,256,2642,0.033504096791148186
2,256,2826,0.031567178666591644
2,256,3213,0.03206310793757439
2,256,4096,0.03716722130775452
2,256,4133,0.03331108018755913
2,256,4507,0.03203144297003746
2,256,4738,0.03015948459506035
2,256,5338,0.031150877475738525
2,256,5647,0.03145495429635048
2,256,5756,0.03015901893377304
2,256,6201,0.030990922823548317
2,256,6517,0.032447511330246925
2,256,6693,0.030751340091228485
2,256,6918,0.03284728154540062
2,256,6937,0.034495024010539055
2,256,7234,0.03198347985744476
2,256,7269,0.03399909473955631
2,256,8149,0.03175903111696243
2,256,8192,0.03689480945467949
2,256,8479,0.03195088356733322
2,256,8766,0.03003142774105072
2,256,8795,0.03131106495857239
2,256,8968,0.03513554111123085
2,256,8977,0.033806776627898216
2,256,9075,0.03318325616419315
2,256,9110,0.031359726563096046
2,256,9495,0.03263913094997406
2,256,10404,0.033999327570199966
2,256,10509,0.03350363112986088
2,256,10566,0.03409571945667267
2,256,10776,0.0377108808606863
2,256,10864,0.034191180020570755
2,256,10968,0.03249524161219597
2,256,11015,0.03166310489177704
2,256,11128,0.03175903111696243
2,256,11354,0.031023286283016205
2,256,12102,0.028735026717185974
2,256,12379,0.03179092891514301
2,256,13014,0.0299669336527586
2,256,13249,0.033375341445207596
2,256,13315,0.0334868673235178
2,256,13681,0.03443146124482155
2,256,13856,0.03427104093134403
2,256,14925,0.033647287636995316
2,256,15086,0.03353552892804146
2,256,15919,0.03382307477295399
2,256,16135,0.03526313230395317
2,256,16384,0.03239884972572327
2,512,361,0.02940814010798931
2,512,779,0.02908799797296524
2,512,1024,0.029839109629392624
2,512,1205,0.0281590037047863
2,512,1907,0.029438873752951622
2,512,2108,0.028911279514431953
2,512,2287,0.030703144147992134
2,512,2642,0.031983014196157455
2,512,3213,0.030863331630825996
2,512,4133,0.03172713331878185
2,512,4738,0.029582995921373367
2,512,5647,0.03179092891514301
2,512,5756,0.030799303203821182
2,512,6201,0.03283168189227581
2,512,6693,0.03345496952533722
2,512,6937,0.03334297798573971
2,512,7269,0.033934833481907845
2,512,8192,0.033343443647027016
2,512,8766,0.03155134618282318
2,512,8968,0.031039351597428322
2,512,9075,0.03705499693751335
2,512,9495,0.036878976970911026
2,512,10509,0.037038931623101234
2,512,10776,0.03246287815272808
2,512,10968,0.03372691571712494
2,512,11128,0.03199884667992592
2,512,12102,0.03313482739031315
2,512,13014,0.035519013181328773
2,512,13315,0.039774924516677856
2,512,13856,0.03399909473955631
2,512,15086,0.03639888018369675
2,512,16048,0.03375904634594917
2,512,16384,0.03179139457643032
2,1024,361,0.029967166483402252
2,1024,779,0.029183458536863327
2,1024,1024,0.028575072064995766
2,1024,1205,0.029854942113161087
2,1024,1907,0.029631657525897026
2,1024,2108,0.028800219297409058
2,1024,2509,0.032495008781552315
2,1024,2642,0.02945493906736374
2,1024,3213,0.0331830233335495
2,1024,4133,0.0339350663125515
2,1024,4738,0.03011152148246765
2,1024,5756,0.03291107714176178
2,1024,6517,0.03812718205153942
2,1024,6918,0.033279648050665855
2,1024,7234,0.03247917629778385
2,1024,8149,0.0409269705414772
2,1024,8479,0.04270300269126892
2,1024,8795,0.04199915565550327
2,1024,9075,0.042879022657871246
2,1024,9495,0.04337495192885399
2,1024,10509,0.04651048220694065
2,1024,11354,0.036174897104501724
2,1024,12379,0.04924694076180458
2,1024,13249,0.04961458034813404
2,1024,13681,0.051039038226008415
2,1024,14925,0.05284696817398071
2,1024,15919,0.05558249540627003
2,1024,16135,0.05548656918108463
2,1064,256,0.030447030439972878
2,1064,512,0.02950313501060009
2,1064,790,0.02764747478067875
2,1064,1205,0.028687994927167892
2,1064,1907,0.030718743801116943
2,1064,2108,0.02940744161605835
2,1064,2509,0.031630974262952805
2,1064,2642,0.031614676117897034
2,1064,3213,0.0331350602209568
2,1064,4133,0.03579095937311649
2,1064,4738,0.032638898119330406
2,1064,5647,0.038255006074905396
2,1064,6201,0.039247097447514534
2,1064,6693,0.040174927562475204
2,1064,6937,0.040495069697499275
2,1064,7269,0.04255911335349083
2,1064,8192,0.03251153975725174
2,1064,8766,0.0386072788387537
2,1064,8968,0.03379140980541706
2,1064,9075,0.045662978664040565
2,1064,9495,0.04633516073226929
2,1064,10509,0.04847836680710316
2,1064,10776,0.034975120797753334
2,1064,10968,0.03636674955487251
2,1064,11354,0.04207901656627655
2,1064,12379,0.052046263590455055
2,1064,13249,0.052830902859568596
2,1064,13681,0.05487888120114803
2,1064,14925,0.05686236545443535
2,1064,15919,0.058462610468268394
2,1064,16135,0.05883048288524151
2,2048,256,0.03012712113559246
2,2048,512,0.02817530184984207
2,2048,790,0.027166912332177162
2,2048,1144,0.026911264285445213
2,2048,1907,0.0326232984662056
2,2048,2108,0.03188708797097206
2,2048,2509,0.036718789488077164
2,2048,2642,0.0342389103025198
2,2048,3213,0.039822887629270554
2,2048,4133,0.04494283348321915
2,2048,4738,0.03639888018369675
2,2048,5647,0.05076662637293339
2,2048,6201,0.0535021536052227
2,2048,6693,0.05631893873214722
2,2048,6937,0.06212666630744934
2,2048,7269,0.058173900470137596
2,2048,8192,0.0349429901689291
2,2048,8766,0.04430301487445831
2,2048,8977,0.07263850420713425
2,2048,9495,0.07246225140988827
2,2048,10566,0.046191271394491196
2,2048,10864,0.03590341657400131
2,2048,11128,0.03572716377675533
2,2048,12379,0.0861259177327156
2,2048,13315,0.09057391434907913
2,2048,14925,0.09779003448784351
2,2048,16048,0.04870188422501087
2,2634,256,0.02635153941810131
2,2634,779,0.029967399314045906
2,2634,1144,0.02783956006169319
2,2634,1907,0.03425520844757557
2,2634,2287,0.03627082332968712
2,2634,2509,0.03686337731778622
2,2634,2510,0.034798868000507355
2,2634,3213,0.04052720032632351
2,2634,4507,0.05108700133860111
2,2634,6517,0.05583907477557659
2,2634,6937,0.0623499508947134
2,2634,8149,0.06422190926969051
2,2634,8766,0.05884631536900997
2,2634,8977,0.07027038373053074
2,2634,9495,0.07251044735312462
2,2634,10566,0.062270089983940125
2,2634,10968,0.06324588321149349
2,2634,11354,0.06425497122108936
2,2634,13014,0.06649387069046497
2,2634,13681,0.08665421046316624
2,2634,15086,0.07287785410881042
2,2634,16048,0.0754066277295351
2,3474,256,0.027534784749150276
2,3474,779,0.032142968848347664
2,3474,1144,0.028591370210051537
2,3474,1907,0.03860681317746639
2,3474,2287,0.04023895598948002
2,3474,2642,0.03854278475046158
2,3474,6693,0.06503844633698463
2,3474,7234,0.056063057854771614
2,3474,8149,0.07446226663887501
2,3474,8766,0.06246217526495457
2,3474,8977,0.0783819705247879
2,3474,9495,0.08127791807055473
2,3474,10566,0.0690859742462635
2,3474,10968,0.07011042907834053
2,3474,11354,0.07095793262124062
2,3474,13014,0.07207784801721573
2,3474,13681,0.10100542567670345
2,3474,15086,0.07851026020944118
2,3474,16135,0.11140480637550354
2,4096,361,0.028591370210051537
2,4096,790,0.028239097446203232
2,4096,1205,0.03649480640888214
2,4096,2048,0.029918737709522247
2,4096,2287,0.04313490353524685
2,4096,2642,0.03819097764790058
2,4096,4096,0.03550364635884762
2,4096,4738,0.04478311166167259
2,4096,5756,0.04779081791639328
2,4096,6517,0.0755181536078453
2,4096,6937,0.07873447611927986
2,4096,8149,0.08807796984910965
2,4096,8766,0.05807913839817047
2,4096,8977,0.09371014311909676
2,4096,9495,0.09654206223785877
2,4096,10566,0.06390293128788471
2,4096,10968,0.05601486191153526
2,4096,11354,0.06803078576922417
2,4096,13014,0.07403059862554073
2,4096,13681,0.12858863919973373
2,4096,15086,0.07946998812258244
2,4096,16048,0.06607850082218647
2,4686,256,0.02900790423154831
2,4686,779,0.036526937037706375
2,4686,1024,0.034703174605965614
2,4686,1205,0.03983895294368267
2,4686,1907,0.04267110489308834
2,4686,2048,0.03731111064553261
2,4686,2510,0.03857491537928581
2,4686,2826,0.03964686766266823
2,4686,4133,0.053903087973594666
2,4686,5338,0.050574541091918945
2,4686,6517,0.07334188558161259
2,4686,7234,0.05878251977264881
2,4686,8479,0.0858695711940527
2,4686,8977,0.08812593296170235
2,4686,10404,0.07127830758690834
2,4686,10864,0.0712461769580841
2,4686,11354,0.07287808693945408
2,4686,13249,0.11750170961022377
2,4686,14925,0.13047666288912296
2,4686,16135,0.13983645476400852
2,7220,361,0.026479363441467285
2,7220,1144,0.03534299321472645
2,7220,2048,0.041102757677435875
2,7220,2509,0.06095855496823788
2,7220,3213,0.0695341732352972
2,7220,4738,0.057549914345145226
2,7220,6201,0.10868511162698269
2,7220,6937,0.11815712787210941
2,7220,8192,0.07718196138739586
2,7220,8968,0.08025392889976501
2,7220,9110,0.08113402873277664
2,7220,10566,0.08985400199890137
2,7220,10968,0.09111734107136726
2,7220,12102,0.0984296202659607
2,7220,13315,0.20405906252563
2,7220,15086,0.11486117728054523
2,7220,16135,0.2218985464423895
2,8026,512,0.028959009796380997
2,8026,1144,0.0364470761269331
2,8026,2048,0.04195095971226692
2,8026,2510,0.04495913162827492
2,8026,4096,0.055582961067557335
2,8026,5338,0.06281468085944653
2,8026,6517,0.10465318337082863
2,8026,7234,0.07478194311261177
2,8026,8479,0.12759678065776825
2,8026,8977,0.13222103007137775
2,8026,10404,0.09308615699410439
2,8026,10864,0.09554927237331867
2,8026,11354,0.09892554953694344
2,8026,13014,0.1097414642572403
2,8026,13856,0.11484557762742043
2,8026,15919,0.2174023538827896
2,8192,256,0.03363075666129589
2,8192,790,0.03339140675961971
2,8192,1144,0.03441539593040943
2,8192,2048,0.03412691876292229
2,8192,2510,0.04143896512687206
2,8192,4133,0.09066984057426453
2,8192,5647,0.11300481855869293
2,8192,6693,0.1272771041840315
2,8192,7269,0.13598077930510044
2,8192,8766,0.07699010893702507
2,8192,9075,0.1647002063691616
