bs,seq,nh,nkv,hd,t_measured_ms
1,1,2,1,128,0.04809396341443062
1,1,4,4,128,0.05071796476840973
1,1,8,1,128,0.04966277629137039
1,1,8,4,64,0.05193520337343216
1,1,16,1,64,0.04614284262061119
1,1,16,2,128,0.04796590656042099
1,1,16,8,64,0.0467509962618351
1,1,32,1,128,0.049215275794267654
1,1,32,4,64,0.04761433228850365
1,1,32,8,128,0.0424310564994812
1,1,64,2,64,0.0435500405728817
1,1,64,4,128,0.04140706732869148
1,1,128,1,64,0.043359119445085526
1,1,128,2,128,0.04028715193271637
1,1,128,8,64,0.04207761958241463
1,2,2,1,128,0.042526982724666595
1,2,2,4,64,-1.0
1,2,2,8,64,-1.0
1,2,4,1,128,0.0437428243458271
1,2,4,4,64,0.04089530557394028
1,2,8,1,64,0.0415346585214138
1,2,8,2,128,0.039614737033843994
1,2,8,8,64,0.039295293390750885
1,2,16,1,128,0.04159938544034958
1,2,16,2,128,0.041279010474681854
1,2,16,8,128,0.04342198371887207
1,2,32,1,128,0.03919797018170357
1,2,32,4,128,0.04134327173233032
1,2,64,1,64,0.040255021303892136
1,2,64,2,128,0.04057399928569794
1,2,64,8,128,0.039902981370687485
1,2,128,2,64,0.03958307206630707
1,2,128,4,128,0.04105502739548683
1,4,2,1,128,0.043422915041446686
1,4,2,8,64,-1.0
1,4,4,2,64,0.03699073567986488
1,4,4,8,64,-1.0
1,4,8,2,64,0.037278980016708374
1,4,8,8,128,0.035422854125499725
1,4,16,2,128,0.03391876816749573
1,4,16,8,128,0.03686314448714256
1,4,32,2,128,0.038655009120702744
1,4,32,8,128,0.03945501521229744
1,4,64,2,128,0.03641471266746521
1,4,128,1,64,0.03507127985358238
1,4,128,4,64,0.03724684938788414
1,8,2,1,64,0.03663916140794754
1,8,2,4,64,-1.0
1,8,2,8,128,-1.0
1,8,4,2,128,0.034110620617866516
1,8,4,8,128,-1.0
1,8,8,2,128,0.03775907680392265
1,8,8,8,128,0.03526313230395317
1,8,16,2,128,0.03619072958827019
1,8,16,8,128,0.035966746509075165
1,8,32,2,128,0.03503914922475815
1,8,32,8,128,0.03695860505104065
1,8,64,2,128,0.03481470048427582
1,8,64,8,128,0.03311876207590103
1,8,128,2,128,0.03711879253387451
1,8,128,8,128,0.0367029570043087
1,16,2,2,128,0.03388803452253342
1,16,2,8,128,-1.0
1,16,4,2,128,0.03558304160833359
1,16,4,8,128,-1.0
1,16,8,2,128,0.03558304160833359
1,16,8,8,128,0.03420701250433922
1,16,16,1,128,0.03516674041748047
