bs,seq,nh,nkv,hd,t_measured_ms
1,1,2,2,64,0.05910266190767288
1,1,2,4,64,-1.0
1,1,2,4,128,-1.0
1,1,2,8,64,-1.0
1,1,2,8,128,-1.0
1,1,4,1,64,0.05222205072641373
1,1,4,1,128,0.05183881148695946
1,1,4,8,64,-1.0
1,1,4,8,128,-1.0
1,1,8,2,64,0.05017407238483429
1,1,8,4,128,0.051934272050857544
1,1,8,8,128,0.053309835493564606
1,1,16,2,64,0.052094925194978714
1,1,16,4,128,0.05007907748222351
1,1,32,1,64,0.05039898678660393
1,1,32,2,128,0.051487237215042114
1,1,32,8,64,0.04719803109765053
1,1,64,1,128,0.049661844968795776
1,1,64,4,64,0.04995008930563927
1,1,64,8,128,0.050622038543224335
1,1,128,2,64,0.049023423343896866
1,1,128,4,128,0.047423411160707474
1,1,128,8,128,0.04931073635816574
1,2,2,2,64,0.04719896242022514
1,2,2,4,128,-1.0
1,2,4,1,64,0.04636682569980621
1,2,4,2,128,0.0452469103038311
1,2,4,8,64,-1.0
1,2,8,1,128,0.046622008085250854
1,2,8,4,64,0.04761526361107826
1,2,16,1,64,0.04703924059867859
1,2,16,4,64,0.04771025851368904
1,2,16,8,64,0.04630303010344505
1,2,32,2,64,0.04502292722463608
1,2,32,4,64,0.04502292722463608
1,2,32,8,128,0.04575774073600769
1,2,64,2,64,0.04553515464067459
1,2,64,4,128,0.04310300573706627
1,2,128,1,128,0.045470427721738815
1,2,128,4,64,0.04460709169507027
1,4,2,1,64,0.04319893196225166
1,4,2,4,64,-1.0
1,4,2,8,128,-1.0
1,4,4,2,128,0.04460709169507027
1,4,8,1,64,0.04447903484106064
1,4,8,4,64,0.0424310564994812
1,4,16,1,64,0.043454114347696304
1,4,16,4,64,0.043007079511880875
1,4,32,1,64,0.04371022805571556
1,4,32,4,64,0.04479801282286644
1,4,64,1,64,0.04124734550714493
1,4,64,4,64,0.04146993160247803
1,4,64,8,128,0.041150953620672226
1,4,128,2,64,0.04121428355574608
1,4,128,8,128,0.0417269766330719
1,8,2,2,64,0.040798913687467575
1,8,2,8,64,-1.0
1,8,4,2,64,0.041151419281959534
1,8,4,8,64,-1.0
1,8,8,1,128,0.04191789776086807
1,8,8,4,128,0.04028715193271637
1,8,16,2,64,0.041182152926921844
1,8,16,8,64,0.040798913687467575
1,8,32,2,64,0.039550941437482834
1,8,32,8,64,0.03897491842508316
1,8,64,2,64,0.04022335633635521
1,8,64,8,64,0.04031788557767868
1,8,128,2,64,0.040735118091106415
1,8,128,8,64,0.038878992199897766
1,16,2,1,128,0.03903917968273163
1,16,2,4,128,-1.0
1,16,4,1,128,0.039774924516677856
1,16,4,4,128,0.04089530557394028
1,16,8,2,64,0.03910204395651817
1,16,8,4,128,0.03820657730102539
1,16,16,2,128,0.038878992199897766
1,16,16,8,64,0.03699120134115219
1,16,32,2,64,0.039774924516677856
1,16,32,4,128,0.04057539626955986
1,16,64,1,128,0.039775390177965164
1,16,64,4,128,0.04089483991265297
1,16,128,2,64,0.041245948523283005
1,16,128,8,64,0.040319282561540604
1,32,2,1,128,0.039711128920316696
1,32,2,4,128,-1.0
1,32,4,1,128,0.04012696444988251
1,32,4,4,128,0.03878306597471237
1,32,8,2,64,0.038399361073970795
1,32,8,8,64,0.03868667408823967
1,32,16,2,64,0.039007049053907394
