M,N,K,t_measured_ms
2,1024,5647,0.039582839235663414
2,2048,8795,0.0704301055520773
2,2048,9075,0.07159844972193241
2,2048,10404,0.04777498543262482
2,2048,10968,0.034607015550136566
2,2048,11354,0.04809512756764889
2,2048,13014,0.05174265243113041
2,2048,13681,0.09289360605180264
2,2048,15086,0.05529518239200115
2,2048,16135,0.10548555292189121
2,2634,512,0.026719411835074425
2,2634,1024,0.030015362426638603
2,2634,1743,0.03495905548334122
2,2634,2048,0.03399886190891266
2,2634,2642,0.036607030779123306
2,2634,4096,0.040143029764294624
2,2634,4738,0.04236679524183273
2,2634,6201,0.056398333981633186
2,2634,6918,0.054238131269812584
2,2634,7269,0.06372714415192604
2,2634,8479,0.0673104077577591
2,2634,8968,0.05828659050166607
2,2634,9075,0.07138983346521854
2,2634,10509,0.07926183752715588
2,2634,10776,0.062286388128995895
2,2634,11015,0.0808460172265768
2,2634,12379,0.08697411976754665
2,2634,13315,0.09188544936478138
2,2634,13856,0.07042987272143364
2,2634,14925,0.09387009777128696
2,2634,16135,0.09521306492388248
2,3474,361,0.026783905923366547
2,3474,790,0.029039569199085236
2,3474,1205,0.03479910083115101
2,3474,2048,0.03689504228532314
2,3474,2509,0.042494386434555054
2,3474,2826,0.03899098373949528
2,3474,4096,0.04518311470746994
2,3474,4507,0.05446304567158222
2,3474,5338,0.048558926209807396
2,3474,5756,0.04961434751749039
2,3474,6517,0.06467010825872421
2,3474,6937,0.06657443009316921
2,3474,8192,0.060271006077528
2,3474,8795,0.0784299336373806
2,3474,9075,0.07915007881820202
2,3474,10404,0.069022411480546
2,3474,10776,0.06990204565227032
2,3474,11015,0.09006145410239697
2,3474,12102,0.07367855869233608
2,3474,13249,0.10010949335992336
2,3474,14925,0.10842899791896343
2,3474,16048,0.0815980602055788
2,4096,256,0.0272474717348814
2,4096,779,0.03345496952533722
2,4096,1144,0.026591354981064796
2,4096,1907,0.040942803025245667
2,4096,2509,0.04478287883102894
2,4096,2826,0.03785500302910805
2,4096,4133,0.05732709541916847
2,4096,5338,0.04627043381333351
2,4096,6201,0.07347040809690952
2,4096,6918,0.05299109034240246
2,4096,7269,0.08211005479097366
2,4096,8479,0.08958205580711365
2,4096,8795,0.09289337322115898
2,4096,9110,0.059199053794145584
2,4096,10509,0.10577356442809105
2,4096,10864,0.0516306608915329
2,4096,11128,0.051822513341903687
2,4096,12379,0.12006121687591076
2,4096,13315,0.128044281154871
2,4096,14925,0.11358177289366722
2,4096,16135,0.12271711602807045
2,4686,512,0.03118300810456276
2,4686,790,0.03275088965892792
2,4686,1144,0.034607481211423874
2,4686,1743,0.04006293602287769
2,4686,2108,0.035742996260523796
2,4686,2509,0.04718312993645668
2,4686,3213,0.05121435970067978
2,4686,4507,0.05801394581794739
2,4686,5647,0.06587104871869087
2,4686,6693,0.07327808998525143
2,4686,8149,0.08276593871414661
2,4686,8795,0.08820579387247562
2,4686,9110,0.06399909034371376
2,4686,10509,0.09889411740005016
2,4686,10968,0.0706380233168602
2,4686,12102,0.07499009370803833
2,4686,13315,0.11895713396370411
2,4686,15086,0.08783792145550251
2,4686,16384,0.093117356300354
2,7220,512,0.027646776288747787
2,7220,1024,0.03281538374722004
2,7220,1907,0.051247188821434975
2,7220,2510,0.04310300573706627
2,7220,4096,0.055886805057525635
2,7220,5338,0.05918252281844616
2,7220,6517,0.11063739657402039
2,7220,7234,0.06948644295334816
2,7220,8479,0.13812491670250893
2,7220,8977,0.14453986659646034
2,7220,10404,0.08734152652323246
2,7220,10864,0.08903793059289455
2,7220,11354,0.09226938709616661
2,7220,13249,0.19273092038929462
2,7220,14925,0.21257088519632816
2,7220,16384,0.12263678945600986
2,8026,779,0.032463110983371735
2,8026,1205,0.04015886224806309
2,8026,2108,0.04230299964547157
2,8026,2642,0.043359119445085526
2,8026,4133,0.07482990622520447
2,8026,5647,0.09382166899740696
2,8026,6693,0.10609324090182781
2,8026,7269,0.1125249546021223
2,8026,8766,0.08156616240739822
2,8026,9075,0.13385247439146042
2,8026,10566,0.09377393871545792
2,8026,10968,0.09481399320065975
2,8026,12102,0.10276539251208305
2,8026,13315,0.18524355255067348
2,8026,15086,0.12150080874562263
2,8026,16135,0.2199946902692318
2,8192,1024,0.028687063604593277
2,8192,1907,0.05079852417111397
2,8192,2509,0.06447848863899708
2,8192,3213,0.07543852552771568
2,8192,4738,0.05463859997689724
2,8192,6201,0.12089288793504238
2,8192,6937,0.13177329674363136
2,8192,8479,0.1541879028081894
2,8192,8977,0.16229995526373386
2,8192,10404,0.08257385343313217
2,8192,10776,0.07263803854584694
2,8192,11354,0.08730986155569553
2,8192,13014,0.09671738371253014
2,8192,13681,0.235626008361578
2,8192,16048,0.09439745917916298
2,8981,256,0.023104017600417137
2,8981,512,0.02751941792666912
2,8981,1144,0.03881496377289295
2,8981,2048,0.0528944656252861
2,8981,2510,0.0609750859439373
2,8981,4096,0.08262204937636852
2,8981,5338,0.10062148794531822
2,8981,6517,0.1153252087533474
